Id_contenuto,durata_s,data_pubblicazione,tipo_contenuto,like,condivisioni,commenti,salvataggi,copertura,follower
18037066609632734,0,01/02/2024 22:30,Immagine di Instagram,440,21,1,22,6829,10
18259522531211584,0,03/30/2024 22:30,Immagine di Instagram,110,0,0,28,3996,0
18043313155671267,0,03/29/2024 23:30,Immagine di Instagram,186,2,0,14,4523,2
18061817290480476,0,03/29/2024 09:13,Carosello di Instagram,204,10,3,4,3630,1
18425054275038157,135,03/29/2024 01:54,Reel di Instagram,795,6,20,41,11431,7
17998128917323574,0,03/27/2024 23:30,Immagine di Instagram,90,3,0,4,3304,0
18021265232111094,0,03/27/2024 06:48,Carosello di Instagram,346,9,8,8,4694,3
18003744629437661,89,03/27/2024 02:43,Reel di Instagram,150,4,0,11,4969,1
18389456431072764,0,03/26/2024 07:29,Carosello di Instagram,67,2,0,6,2304,0
17983479578648545,89,03/25/2024 09:08,Reel di Instagram,907,36,14,39,16227,15
18041292238741889,0,03/23/2024 23:30,Immagine di Instagram,934,38,51,145,29480,43
18069009250446989,0,03/23/2024 03:43,Immagine di Instagram,1095,64,32,82,16160,13
17939794052797410,0,03/22/2024 23:30,Immagine di Instagram,228,5,3,11,4046,1
18406710616067781,65,03/22/2024 03:15,Reel di Instagram,479,5,2,34,11355,9
17909011841843268,0,03/20/2024 23:30,Immagine di Instagram,372,23,0,25,6839,5
18037950838810357,77,03/20/2024 08:11,Reel di Instagram,433,9,1,40,12267,9
17989274750454605,0,03/19/2024 03:29,Carosello di Instagram,67,1,0,3,2360,1
18027485251822146,0,03/18/2024 07:17,Carosello di Instagram,259,10,3,4,4135,0
18020485657936830,90,03/18/2024 04:17,Reel di Instagram,1036,46,21,57,15147,21
17858562867111709,0,03/16/2024 23:30,Immagine di Instagram,84,6,1,9,3776,0
18032960011862641,0,03/15/2024 23:30,Immagine di Instagram,246,5,1,20,7659,2
18050083315537971,89,03/15/2024 00:28,Reel di Instagram,322,1,13,35,7951,7
17950192553777399,0,03/13/2024 23:32,Immagine di Instagram,600,43,5,25,10794,6
17901027080878784,0,03/13/2024 07:56,Immagine di Instagram,87,4,4,5,5286,3
18315717751120610,90,03/13/2024 03:02,Reel di Instagram,532,13,4,56,12007,16
18065254954458658,0,03/12/2024 08:14,Carosello di Instagram,51,1,1,2,2019,0
17868411186039079,89,03/11/2024 11:05,Reel di Instagram,587,15,13,23,12015,12
18026553685819355,56,03/11/2024 03:21,Reel di Instagram,814,31,38,113,20322,10
17946878396668904,0,03/09/2024 22:30,Immagine di Instagram,74,2,0,8,3407,1
18022709858070152,0,03/08/2024 22:30,Immagine di Instagram,168,4,1,13,5345,1
18159592918306619,89,03/08/2024 06:43,Reel di Instagram,608,10,6,83,15063,15
18029465905754781,0,03/06/2024 22:30,Immagine di Instagram,443,28,1,24,7933,4
18291506311082515,0,03/06/2024 05:30,Immagine di Instagram,393,5,13,14,8704,2
17963811788711473,265,03/06/2024 02:45,Reel di Instagram,678,14,25,39,10832,6
17915673671879566,0,03/05/2024 06:07,Carosello di Instagram,72,0,0,3,2749,0
17999139905281944,90,03/04/2024 01:26,Reel di Instagram,1259,21,35,239,36973,75
18316294555134481,0,03/02/2024 22:30,Immagine di Instagram,205,7,2,30,4551,5
17867486652039599,0,03/01/2024 22:30,Immagine di Instagram,191,7,1,17,5404,0
17891421191920499,30,03/01/2024 00:40,Reel di Instagram,146,3,0,4,5273,4
18417589975044263,0,02/28/2024 22:30,Immagine di Instagram,574,25,2,28,13758,9
17879797029023757,73,02/28/2024 03:27,Reel di Instagram,2386,82,100,162,35343,53
18226894528256480,0,02/26/2024 22:30,Carosello di Instagram,66,3,0,10,2601,4
18000792461232634,54,02/26/2024 05:12,Reel di Instagram,384,3,1,35,14330,11
18010520192218819,0,02/24/2024 22:30,Immagine di Instagram,79,0,0,9,3900,1
18024607501986329,0,02/23/2024 22:30,Immagine di Instagram,339,18,1,15,5349,1
18007506785108371,31,02/23/2024 09:21,Reel di Instagram,359,4,5,23,8892,2
18002433023377807,0,02/22/2024 22:47,Immagine di Instagram,180,8,2,31,7415,7
17917785368858119,0,02/22/2024 10:09,Immagine di Instagram,28,2,1,6,2609,1
18024075196954868,0,02/21/2024 22:30,Immagine di Instagram,502,26,1,18,9452,2
18177060901291619,90,02/21/2024 06:13,Reel di Instagram,1778,37,21,152,27840,106
18094303648391941,0,02/20/2024 01:12,Carosello di Instagram,193,4,2,35,5178,3
17994048410327904,84,02/19/2024 02:21,Reel di Instagram,388,7,0,35,8712,4
18053933296557054,0,02/17/2024 22:30,Immagine di Instagram,222,6,0,28,6342,2
17906213864842754,0,02/17/2024 04:44,Carosello di Instagram,274,3,2,47,6299,7
18017785402898238,0,02/16/2024 22:30,Immagine di Instagram,1119,45,25,48,11750,8
17992543211538864,71,02/16/2024 09:05,Reel di Instagram,451,7,5,25,8983,7
18039212959670647,0,02/15/2024 23:15,Carosello di Instagram,179,2,1,31,3678,1
18002929775168775,451,02/15/2024 09:43,Reel di Instagram,2210,192,82,326,36894,147
17995904612306762,86,02/15/2024 05:00,Reel di Instagram,817,20,9,72,20985,25
17980594973496001,0,02/14/2024 22:30,Immagine di Instagram,584,41,0,28,9171,3
18028635373910549,0,02/14/2024 06:31,Immagine di Instagram,34,1,2,1,2079,2
18014611385154189,0,02/12/2024 22:30,Carosello di Instagram,55,0,3,5,1782,0
17989748984381511,60,02/12/2024 03:55,Reel di Instagram,494,17,2,39,16631,3
18417022276029420,0,02/11/2024 02:07,Immagine di Instagram,239,7,5,34,6907,2
17886075398995437,0,02/09/2024 22:30,Immagine di Instagram,596,8,14,16,6736,4
18026052190897976,39,02/09/2024 04:19,Reel di Instagram,832,76,17,49,17870,35
18077554579452273,0,02/07/2024 22:30,Immagine di Instagram,329,46,1,23,6421,1
18174888082289900,67,02/07/2024 06:29,Reel di Instagram,464,17,6,27,9054,7
18009303779191638,0,02/05/2024 22:30,Carosello di Instagram,57,0,0,6,1993,0
17978494976504097,55,02/05/2024 01:53,Reel di Instagram,855,33,11,46,16462,24
18030334303878729,0,02/03/2024 22:30,Immagine di Instagram,191,6,0,24,5303,4
17894050157963747,0,02/02/2024 22:30,Immagine di Instagram,204,4,0,15,3893,0
17984807441463681,70,02/02/2024 06:39,Reel di Instagram,505,11,0,30,8438,20
18059873482501786,0,01/31/2024 22:30,Immagine di Instagram,687,63,3,29,9675,11
18412975843039387,61,01/31/2024 06:17,Reel di Instagram,833,35,7,54,12203,45
17873656581042787,0,01/29/2024 22:30,Carosello di Instagram,82,3,0,5,2788,1
18012953456478991,80,01/29/2024 02:49,Reel di Instagram,1582,49,11,112,26940,76
17960668202705492,0,01/27/2024 22:30,Immagine di Instagram,403,26,6,92,8462,4
18077288296450766,0,01/26/2024 22:30,Immagine di Instagram,233,8,4,20,3920,6
17988618149557447,86,01/26/2024 06:59,Reel di Instagram,1222,94,23,96,22090,23
18001209272166175,90,01/26/2024 01:59,Reel di Instagram,508,3,8,12,8690,1
18091828399400853,0,01/25/2024 22:30,Immagine di Instagram,155,5,0,6,3873,0
18010759643001103,90,01/24/2024 04:10,Reel di Instagram,723,37,8,80,16338,11
18043110484623180,66,01/23/2024 02:33,Reel di Instagram,2924,113,61,259,39638,106
17989443041614274,0,01/22/2024 22:30,Carosello di Instagram,44,3,0,6,2060,3
18025279681918647,52,01/22/2024 05:32,Reel di Instagram,378,12,3,15,9500,8
18025252711911530,0,01/21/2024 11:20,Carosello di Instagram,4855,242,212,193,52956,52
18017340446013485,0,01/20/2024 22:30,Immagine di Instagram,138,7,0,14,4227,2
18084834562414887,0,01/19/2024 22:30,Immagine di Instagram,281,13,3,10,4324,2
18095215006384069,195,01/19/2024 02:29,Reel di Instagram,1887,49,63,148,21769,12
18028567861850667,0,01/17/2024 22:30,Immagine di Instagram,597,39,3,21,8714,0
17910616157870548,88,01/17/2024 04:25,Reel di Instagram,1201,92,19,92,27007,34
17918532509847685,0,01/15/2024 22:30,Carosello di Instagram,63,0,0,3,2570,0
18031792999790534,38,01/15/2024 01:26,Reel di Instagram,633,10,1,39,14933,17
17993791739295352,0,01/13/2024 22:30,Immagine di Instagram,224,7,0,29,5900,6
18015460433091856,0,01/12/2024 22:30,Immagine di Instagram,292,4,6,6,4880,3
18001731164366762,90,01/12/2024 01:15,Reel di Instagram,983,46,5,118,25765,39
18037622134646996,0,01/10/2024 22:30,Immagine di Instagram,700,46,0,29,9299,4
18033686371706762,78,01/10/2024 02:11,Reel di Instagram,130,3,2,6,4025,2
18016083656078605,0,01/08/2024 22:30,Carosello di Instagram,62,0,0,3,2196,0
